screen_name,name,location,bio,tweet,he/him,she/her,they/them,it/its,xe/xem,ze/zir
WishingWontWork,MakeAWish 🇺🇸,,Good Dog Let's Eat!,"@MattRuppert2 @kxly4news Ladies and gentlemen, I give you a perfect example of a MAGAt with compromised personal integrity: Matt Ruppert.",no,no,no,no,no,no
sammbaammm,sammi 💟,my own world,insta @ samaanthajuarez,"ladies and gentlemen, her https://t.co/GzMhhmOta0",no,no,no,no,no,no
MiriamW53470164,Pennyless,,,RT @mattandrewbevan: COMPETITION! Win a copy of the third series of The League of Gentlemen on vinyl. Just like and retweet this tweet to b…,no,no,no,no,no,no
catboykenobi,bill 🌿,he/it/void • 🔞,"“and you, master. what does your heart tell you you’re meant for?”              — “infinite sadness.”","RT @EmotionsWheel: @OOCWesternR34 Happy Weed day, gentlemen https://t.co/PEWre7gohG",yes,no,no,yes,no,no
LolaMar04697166,Black with 2 biological Black parents,,"Only Monoracial Black empowerment over here, #MonoracialBlackHealth #MonoracialBlackExcellence #MonoracialBlackLove and more important #ProMonoracialBlackWomen","Ladies and gentlemen "" the french"" for y'all.nothing good had never come and will never come out of it. they're ful… https://t.co/Oj0JG0y0f4",no,no,no,no,no,no
NatiBoyDan,Dan,"Cincinnati, OH",Proud wife and mother to Jayyden.,"Kyle Farmer, ladies and gentlemen",no,no,no,no,no,no
PCharGrey,RRocky🧚🏼‍♀️,"Nevada, USA",Check my advice blog! Link below! 😘20🤞🏼 I just took her name and made that bitch a LLC 👑 Cowboy Nation💍⭐️,"The “facing the door” is new to me. I can totally see supporting this, tho I see this as just being a gentlemen. https://t.co/ne7481ON3t",no,no,no,no,no,no
kerinnnbd,Kerin B.D,,🦖🦖🦖,"RT @wowsela: ladies and gentlemen, jerome polin sijabat✨ https://t.co/vkSsaK4XJy",no,no,no,no,no,no
whoisslaurab,laura. 🦋,tree hill,"eu sinto que ninguém está a ser ouvido. as pessoas adoram falar, mas ninguém gosta de ouvir - zayn","RT @sgemotions: Ladies and gentlemen, Selena Gomez. https://t.co/7nk7ryjf5m",no,no,no,no,no,no
Hamm3r_fitn3ss,Hammerfitness,,"21 Years Old, SFASU 👏🏻","RT @TalkingTHFC: 🗣 ""I want us to be brave and aggressive and play like Tottenham Hotspur.” 

Ryan Mason, ladies and gentlemen… #COYS https:…",no,no,no,no,no,no
OllieLupin,oil ❼ pretty boy era LOR HATE PAGE, honestly fuck love ♡,#JAZMIN : well no need for the sassity sass 🙄✋🏾 || oc/rp || he/they { priv: @OLLIELIPINSPRIV },"// body image  , fake blood
-
-
-
-
-
-
-
-
-
-
-
-
-
-
- lady’s and gentlemen me https://t.co/UF4bsf9CEd",yes,no,yes,no,no,no
DjMazola3,djmazola_sa,"Johannesburg, South Africa",self motivated,RT @therealxolo: Good morning filters and gentlemen.😂😂😂😂 https://t.co/J51L6keVWu,no,no,no,no,no,no
noitsjuliet,juliet.,"Los Angeles, CA",26 • LA • she/her • artist currently obsessed with hq & jjk • 🔞 sometimes,ladies and gentlemen... them 🦉#bokuaka #haikyuu https://t.co/KgPNcyfqtQ,no,yes,no,no,no,no
Dynoeyy,Dino,🐻🐱🐣🦁🦖🦄🐑and 🐦🦦🐿️🦙🐻,"90% wayzenni/weishennie 
5% Nctzen
5% Abnews

🇲🇾","RT @farahkhairuddin: and this is why, ladies and gentlemen, ranting on social media works.",no,no,no,no,no,no
destineemireya,Destinee,on mars ,snap//destinee.mc // m g // insta // destineemireya,RT @KylieJenner: ladies and gentlemen.. her. https://t.co/aoTMar9vI5,no,no,no,no,no,no
brendanlemire,Brendanlemire,"Mercier-Hochelaga-Maisonneuve,","McGill Law Alum, Buffalo Bills backer, LA Laker & RBC Banker.",@GregTompsett The scenario where your easy on the eyes teacher shows up for the talent show at the gentlemen's club… https://t.co/Fppp8ciI8y,no,no,no,no,no,no
WriteThatPain,Arcane Rambler,"Outer Rim, Skating Up Hill","More horse than man formally @ZambiazHarshTag about 5'7 semi pro, ODB is my spirit animal. Force of nature, epic chicolour, Liverpool FC. Former story teller.",RZA ladies and gentlemen... Wu-Tang Clan ain't nothing to fuck with.,no,no,no,no,no,no
smy__xo,Steph,"Gainesville, FL","Florida🐊, Miami🐬....and Devin White",Ladies and gentlemen we have a winner https://t.co/C6fr4eehFV,no,no,no,no,no,no
nrlhda_,ꪮꪗꪮꪀ,,fam called me oyon,"RT @farahkhairuddin: and this is why, ladies and gentlemen, ranting on social media works.",no,no,no,no,no,no
CrimsonCovert,Natasha Romanoff {Fan},Teasing a certain soldier,Ex-SHIELD Shadow that is now part of a greater team. The Avengers. I will make things right in my way. #Marvel #21+ #AU #MV #Doll #Fake,"RT @commanderxhill: ⠀
⠀
⠀⠀⠀❏ ──── ; 𝐌𝐀𝐑𝐈𝐀 𝐇𝐈𝐋𝐋.
⠀⠀⠀never afraid to do what it 
⠀⠀⠀takes, in order to get the
⠀⠀⠀job done . . . . . . . . .…",no,no,no,no,no,no
HaloQuotesBot,HaloQuotesBot,,A bot tweeting random dialogue from every Halo game. Made by @TeamRespawnTV,"We can not lose our foothold on Arcadia, gentlemen. Secure a defensible position, and hold it until we can reinforce you!",no,no,no,no,no,no
arswooseok,Tonet 🔗🌌,🇵🇭,got7 • pentagon • choi youngjae 💕 she / her,"RT @crownadachi: ladies and gentlemen, jo jinho

@CUBE_PTG #펜타곤 

https://t.co/KIWfu7M2ZL",no,yes,no,no,no,no
A_Alfayez_,A.,,"""الثقه بالله نجاح""","Ladies and gentlemen, soccer has come back to life.🤍 https://t.co/7oyHFxC0w3",no,no,no,no,no,no
luffy2597,drylxx,your mommma's house,M💕,"RT @farahkhairuddin: and this is why, ladies and gentlemen, ranting on social media works.",no,no,no,no,no,no
zach_barrett18,Zach Barrett,United States,life’s your playground stay humble!,"RT @vt_megs: Pulaski County (VA) Sheriff’s Office, ladies and gentlemen. 🤣🤣🤣 Love it https://t.co/vSxraiW6HL",no,no,no,no,no,no
syafiqahisam,pika✨,,It tastes like a cherry bomb 🍒 sarawak & johor's,"RT @farahkhairuddin: and this is why, ladies and gentlemen, ranting on social media works.",no,no,no,yes,no,no
tfp360,nico el mico,,South florida native. Profesor de Biologia. Get it how you live.,"@DaveAndCatboi @MikePerryavatar Morning gentlemen, I've come to lick the plants. Yes all of them.",no,no,no,yes,no,no
eunaashii,wee⁹,sf9 / gfriend,"#EUNHA : move your mind mind make it shine ☆
•200116 SF9 1ST WIN• ¦ fan account 🇲🇾 ¦ 
piwon stan acc : @tyangchoi","RT @farahkhairuddin: and this is why, ladies and gentlemen, ranting on social media works.",no,no,no,yes,no,no
CoaxFN_,Stre7azo,"Cleveland, OH",F/A repping @EnviousUprising • ex competitive fortnite player,ladies and gentlemen i present to u: how to get impressions😭😭😂 https://t.co/GbQbSArJpX,no,no,no,no,no,no
XBA_XCAA_JK,Jordan Kendrick,,Press Reporter for the @Goldglover9 network. Coming to you with the LATEST breaking news from the XBA and XCAA.,Ladies and gentlemen the So Cal Supernovas are LEGIT,no,no,no,no,no,no
RebeccaZachary1,Rebecca Zachary,,mustang mama 🐴Spanish teacher 🇪🇸🐻#washU22 🏈 football fanatic🏖 beach/ river enthusiast 🌮🥑❤️,"@MagWestBaseball Teacher Appreciation Night was fun! Thanks, gentlemen!! 🐴💛 https://t.co/3OYPyolz1O",no,no,no,no,no,no
stopthistrain28,the ghost of wade boggs,hell,chaotic evil,"GERALD DEMPSEY BUSTER POSEY III, LADIES AND GENTLEMEN. THE TRUTH AND THE LIGHT.™️

#SFGiants https://t.co/VvVd44HvTK",no,no,no,no,no,no
Thankful4dream,Ximena ²⁰ᴹ ♡ 🩸🦷,She/Her,"-mcyttwt-dttwt-feraltwt-similetwt-masktwt 死
layout art  by @SAD_istfied

private:@thankful4dtpriv","RT @_cvpher: karl, opening google docs and ms paint: okay gentlemen, where do we begin",no,yes,no,no,no,no
CaseySibaja,case,,libra,"RT @emmarromero_: Ladies and gentlemen, Her ✨❤️ https://t.co/lUlU4UfWMx",no,no,no,no,no,no
BPayeny,bryamofficial🇲🇺,Republic of Mauritius🇲🇺,my strength 🔥👍💪❤,RT @KylieJenner: ladies and gentlemen.. her. https://t.co/aoTMar9vI5,no,no,no,no,no,no
LCD2200,The Beast,"California, USA",I try to be as unbiased as possible but stupidity is something I will stand by.,"@PortlandPolice Continue your good work gentlemen. 
The majority of the US appreciate you.",no,no,no,no,no,no
TStubbycubby,The StubbyCubby,,Laid back dude. I love big beefy bears!!,Good evening gentlemen!! https://t.co/p8cPup8mLO,no,no,no,no,no,no
