screen_name,name,location,bio,tweet,he/him,she/her,they/them,it/its,xe/xem,ze/zir
austinbhamidele,blackbami 🍫 黑巴米,"warri,Lagos, Venus ",follow I follow back //fan of nice legs and pretty pictures // Chelsea fc @Chelseafc ... Ronaldo is the one and only 🐐🐐🐐🐐🐐// 💡 💡 💡 💡,"RT @CFCMod_: All the big six clubs’ fans stood together as one and defeated the owners and people at the top. Ladies and Gentlemen, we are…",no,no,no,no,no,no
andrewckeith,Not even sure where the queue is,"Brisbane, Queensland","Truth to power, compassion, equality, credit where it is due. Eat, drink, sleep, ride, repeat",@davrosz @AndrewPStreet Ladies and gentlemen - we have a winner!!!,no,no,no,yes,no,no
carolin45,C.J.C,"Orlando, FL","Romans 12:12 Rejoice in hope, be patient in tribulation, be constant in prayer. #RIP Pops 1/10/50- 6/21/20 “In My Feelings” Ep Available on all Platforms:",RT @AbelCainSoul: His name is Hansel Enmanuel ladies and Gentlemen 🥶😤 https://t.co/sLB720rJb1,no,no,no,no,no,no
CaioMGA,Caio Souls II: E. Miguel Joães ✝,,"https://t.co/bYR3fhFt0X
Puppies and memes.
#próvida #prolife","RT @pandrest: Ladies and gentlemen, I regret to inform you that the corporations are at it again",no,no,no,no,no,no
ReginaldCopper4,EminƎm,Mom's spagetti,"Im begining to feel like a rap god,rap god
{Pro Rapper Vibez}
Parody,Not associate with eminem. 
Follow @Dream99504081","good afternoon gentlemen. 
cock penis fuck ass sex. https://t.co/B4iquXTjhB https://t.co/d70lYzYnZI",no,no,no,no,no,no
NOWYOULIKEME,bri,she/they/her,"sluggish, lazy, stupid, and unconcerned. BLM ALWAYS & ACAB . #STOPASIANHATE . minor (17) . this is my spam twitter !♡",RT @joederosacomedy: Ladies and gentlemen and all fellow #TASTEBUDDIES: Despite his vehement pro-burger argument on the latest episode of @…,no,yes,yes,no,no,no
sgbliar,𝖺𝗅𝖾,taylena,𝐨𝐧𝐥𝐲 𝐟𝐨𝐫 𝐬𝐞𝐥𝐞𝐧𝐚 𝐠𝐨𝐦𝐞𝐳♡,"RT @sgemotions: Ladies and gentlemen, Selena Gomez. https://t.co/7nk7ryjf5m",no,no,no,no,no,no
iloveashhhley,Ashly💕,,,RT @KylieJenner: ladies and gentlemen.. her. https://t.co/aoTMar9vI5,no,no,no,no,no,no
YacineBenmerzo1,Yacine Benmerzoug,,,"RT @NatalieToronto3: Hi lovelies!
Given the new restrictions I will be seeing even fewer people than I have been... no more than two gentle…",no,no,no,no,no,no
genericaltac,da bab,,Lol,"RT @EmotionsWheel: @OOCWesternR34 Happy Weed day, gentlemen https://t.co/PEWre7gohG",no,no,no,no,no,no
theonlyonechad,YaBoiNoOne,under your bed,I just retweet funny hahas,"RT @EmotionsWheel: @OOCWesternR34 Happy Weed day, gentlemen https://t.co/PEWre7gohG",no,no,no,no,no,no
miathemighty,𝐦𝐢𝐚! #shadowandbone,california.,"books, animal crossing, dreamcatcher, genshin impact & other blurbs of my life. moving to korea in june, stay tuned!","RT @sixcrws: ladies and gentlemen, her 🤩 https://t.co/15fhNxfn10",no,no,no,no,no,no
ScourgeVigo,Lord Vigo,"Downtown, Uptown ","I'm a Dad, Im Married, I'm funny and I like MMA, Pro-Wrestling, Comics and Video Games. I'm a warrior and a poet, a lover and a fighter. Hashtags and humor!",@lucha_angel1 with an impressive victory over @FuegoDelSol what a great match from these two gentlemen and one of m… https://t.co/jY1FDPJu5l,no,no,no,no,no,no
NunanRMC,Sean Nunan,,"********* ******** *******; Associate Something for Redacted; Anytown, USA; *** '87, Rutgers U '91; Grammar Final Boss; all opinions belong to me; right matters","#Loveless 
#ToHereKnowsWhen 

Ladies and gentlemen, dream pop.",no,no,no,no,no,no
ezreianty,ᗴᖇᗴIᑎᗩ,Malaysia,im sorry wht language are you speakin? it sounds like bullshit •.•,"RT @wonhogirlf: ladies and gentlemen, her! https://t.co/x4QBRrfzUk",no,no,no,yes,no,no
daisysyz,🌼ديني🌼,,Verrückt,"RT @farahkhairuddin: and this is why, ladies and gentlemen, ranting on social media works.",no,no,no,no,no,no
chillasaurusx,Darth Darth Binks,Naboo,"LFTR, clean energy, Urban Farming, electric car, UBI, market maker","RT @The_Endie: You think now is bad? What do you think will happen when the next one gets installed in a few years time?

The time is now l…",no,no,no,no,no,no
puterisamary,put.,,Let’s talk flowers @/petals.soul,"RT @farahkhairuddin: and this is why, ladies and gentlemen, ranting on social media works.",no,no,no,no,no,no
RyanWeigelGFSG,Ratin,INDONESIA,Just Me,"RT @SelenaFanClub: Ladies and gentlemen, ...her. https://t.co/gAkcMQmuPP",no,no,no,no,no,no
FellyPuppa,Ayah Felicita,"Lagos, Nigeria",Food lover//Leo//Music lover//straightforward//ChelseaFC,"RT @oreos_unique: Hello gentlemen😍 
You need a pair or more to perfect your outfits! Order a pair now and get a free gift 😊
Frame 1: 15k
Fr…",no,no,no,no,no,no
misshajar__,hajar,ig : siti.hajarrr,21,"RT @farahkhairuddin: and this is why, ladies and gentlemen, ranting on social media works.",no,no,no,no,no,no
ProductivePot,Productive Pothead,,,RT @stonerdottie: Please stay hydrated today ladies and gentlemen! Don’t be the one to pass out on 420 🤣,no,no,no,no,no,no
4CAonPoint,4CAonPoint,,"MMA, NFL, Fantasy football. a man amongst moon boys.","@LIKELAMAR Ladies and gentlemen, the amazing mr Spider-Man",no,no,no,no,no,no
AbyJamil,رابعةالعدوية,Cyberjaya,travel and dive ✨ Fitri’s 🤿,"RT @farahkhairuddin: and this is why, ladies and gentlemen, ranting on social media works.",no,no,no,no,no,no
TshepiValentine,Tshepiso Valentine,"Bloemfontein, South Africa","📍UFS Accounting Student
•Be mentally curious. Loves Mixed Martial Arts😁 Center Back FC💙","RT @CFCMod_: All the big six clubs’ fans stood together as one and defeated the owners and people at the top. Ladies and Gentlemen, we are…",no,no,no,no,no,no
cheesecakeupls_,Stoopy Azaliea (～￣▽￣)～,here but not here,I just want bread ll Don't follow me if you don't what your tl to be filled with food,"RT @noirsladies: ladies and gentlemen, HER. https://t.co/XwZW84BSl0",no,no,no,no,no,no
whothatB10,Onju 🌸,Ushijima tiddies | she/her ,hello bitches | 24 | #anitwt tp kadang meleset,"RT @wowsela: ladies and gentlemen, jerome polin sijabat✨ https://t.co/vkSsaK4XJy",no,yes,no,no,no,no
CONNEXZAlN,liv.²⁸ ツ,خاي,⨳ 𝘁𝗼𝗺𝗹𝗶𝗻𝘀𝗼𝗻 ★ 𝟗𝟏' ⋆ art' 🎸 | fan account | (a/ela/-a),"RT @Louis_Tomlinson: Sooooooo this happened today ! Absolute dream , what a true gentlemen ! The best footballer of all time ! http://t.co/…",no,no,no,no,no,no
vanguard_mc,BlackrockMcVanguard,,Talking peanut with an eight-figure net worth from the 1920s. Dgaf about financial advice +/-. Because rich talking peanut. And the 20s are back. Giddyup. 🎩🐎,"@GuyAdami @RiskReversal Gentlemen, what was the name/handle of the analyst/strategist you had on #TheMacroSetup via… https://t.co/6soCYRtoJg",no,no,no,no,no,no
livngmz,grazi.,fanie.,,"RT @sgemotions: Ladies and gentlemen, Selena Gomez. https://t.co/7nk7ryjf5m",no,no,no,no,no,no
raymorganlx,💛Athy⨟💚,,"Dino stan, i swear. 타로야 ~","RT @farahkhairuddin: and this is why, ladies and gentlemen, ranting on social media works.",no,no,no,no,no,no
AnidaShaffi,니도,MY,a girl with resting bitch face,"RT @farahkhairuddin: and this is why, ladies and gentlemen, ranting on social media works.",no,no,no,no,no,no
Mortzz98,Luke Mortimer 🇦🇺,"New South Wales, Australia",australian 🇦🇺 | @LFC | twitch account https://t.co/LPPbO87UTv,"RT @OptusSport: UEFA President Aleksander Ceferin has gone 𝒊𝒏 on Premier League sides behind the Super League 😳

""Gentlemen you made a huge…",no,no,no,no,no,no
AbelCainSoul,AbelCain,,🤷🏾‍♂️🤷🏾‍♂️😒 you gonna have a convo or get emotional?..logic makes more sense,His name is Hansel Enmanuel ladies and Gentlemen 🥶😤 https://t.co/sLB720rJb1,no,no,no,no,no,no
badsssjk,💃🏻,Malaysia,20,"RT @farahkhairuddin: and this is why, ladies and gentlemen, ranting on social media works.",no,no,no,no,no,no
Loudfan123212,Brandon,,I have High functioning autism love to draw and love The loud house Casagrendes and other things as well like nicktoons and Cartoon Network,"RT @Atomlion360: LADIES AND GENTLEMEN WE GOT EM
#SonicMovie2 https://t.co/ZtquBorxH8",no,no,no,no,no,no
YoungJedi_7,Yung Lack Schleep 🐑,"Florida, USA",The black sheep running with a pack of wolves. Product of the mid 90's 👑 #B47ANCE #HiiiPoWeR #WorldPeace #BrownPride [University of Northern Iowa🏆 ALUMNI],"Everyone celebrate today, even if you feel like there’s nothing to celebrate. Celebrate yourself. Happy #420day Ladies &amp; Gentlemen",no,no,no,no,no,no
DemicheleMatt,Matthew D 🇨🇦🇮🇹🇧🇧🏒🏀⚽️⚾️,"Toronto, Ontario",Love my Toronto Sports Teams and my Ford Escape x-#LeafsForever 28-12-5🏒 #WeTheNorth 22-34🏀 #TFCLive 0-0-0⚽️ #BlueJays 6-7⚾️,Ladies and gentlemen. @ALMURDOCH,no,no,no,no,no,no
Alexander251212,Alexander,"Bali, Indonesia",Hiburan Musik Media Belanja,"RT @iHeartRadio: Ladies and gentlemen, ✨ her ✨

@billieeilish https://t.co/2AzgLNF3xF",no,no,no,no,no,no
GoodWinFarm92,Good Win Farm,"Paris, KY","Farm where top race horses Sharp Azteca,No Parole,Dr Post,Gypsy Robin, Piedi Bianchi,Twinspired,Slam Dunk,Flashy Dresser,KP Wildcat and Legacy got their start.",RT @TheMeganWiggins: A WALK- OFF IN ATHENS LADIES AMD GENTLEMEN A WALK OFF!!! Go dawgs!!!!! @UGASoftball 🐶🐶🐶🐶🐶🐶🐶🐶💪🏻💪🏻💪🏻💪🏻💪🏻💪🏻,no,no,no,no,no,no
dvsSZN,davis 🦝,15,@penumbraWRLD @IaretaI @DavisSad218,@1jinguu @proxiibomb @vexxYSL @AlpaccaR6 @notsaadR6 that is Dave Chappelle who is very clearly an african american gentlemen,no,no,no,no,no,no
riverosjulieta9,julieta,,"🌈
•  la poésie est dans la rue  •","RT @jihyosource: ladies and gentlemen, HER https://t.co/jNnvcuOaJV",no,no,no,no,no,no
mywoorldisNiall,SOLE🇨🇱,"La Unión, Chile","Nadien me pesca😔

Enamorada de Niall Horan,Louis Tomlinson,Harry Styles,Zayn Malik,Liam Payne y muchos màs😳❤❤","RT @Louis_Tomlinson: Sooooooo this happened today ! Absolute dream , what a true gentlemen ! The best footballer of all time ! http://t.co/…",no,no,no,no,no,no
atiqa_aziz,AtiqahAziz #RakyatJagaRakyat,Melaka,A good listener.,"RT @farahkhairuddin: and this is why, ladies and gentlemen, ranting on social media works.",no,no,no,no,no,no
dvsSZN,davis 🦝,15,@penumbraWRLD @IaretaI @DavisSad218,@proxiibomb @1jinguu @vexxYSL @AlpaccaR6 @notsaadR6 that is Dave Chappelle who is very clearly an african american gentlemen,no,no,no,no,no,no
93GRANDEONE,key 🍰 | kinda ia,niall's heart ♡ | keyorcake,#RAPUNZEL : let your power shine. (she/her),"RT @wowsela: ladies and gentlemen, jerome polin sijabat✨ https://t.co/vkSsaK4XJy",no,yes,no,no,no,no
ohheysporty,T.J. Russell,,"softball diehard || not even sure I’m alive right now, and pretty sure I’m doing this whole life thing wrong. completely wrong. go dawgs! 🐶",RT @TheMeganWiggins: A WALK- OFF IN ATHENS LADIES AMD GENTLEMEN A WALK OFF!!! Go dawgs!!!!! @UGASoftball 🐶🐶🐶🐶🐶🐶🐶🐶💪🏻💪🏻💪🏻💪🏻💪🏻💪🏻,no,no,no,no,no,no
XiaiJiaoo2wish,虾饺~💙💚,ประเทศไทย,💙💚,"RT @Mean08011723: I miss these two cute gentlemen!!! Hoping that everything will back to normal. I LOVE YOU BOTH!!!

#รักแฟนคลับ2wish https…",no,no,no,no,no,no
AnisZulaikhaaaa,Tian Mei,Malaysia ☺ ,"Simplicity is the best policy.
[LLB IIUM]","RT @farahkhairuddin: and this is why, ladies and gentlemen, ranting on social media works.",no,no,no,no,no,no
krish_ONE8,MB_ONE8,,,"RT @sgemotions: Ladies and gentlemen, Selena Gomez. https://t.co/7nk7ryjf5m",no,no,no,no,no,no
monicaclearesta,mnclrst,,"suka reetweet akun onedirection, barca dan yang bikin ketawa🤭🤟","RT @wowsela: ladies and gentlemen, jerome polin sijabat✨ https://t.co/vkSsaK4XJy",no,no,no,no,no,no
signedcharles,vex*,"Bronx, NY",limited edition tweets.,Ladies and gentlemen please STOP smoking tobacco products. Thank you.,no,no,no,no,no,no
illunoria,illunoria,,🔞 lvl 25+ . multiship . ace . 18+ & very nsfw rt heavy . 🔞,RT @Min_le0: gentlemen #GenshinImpact #kaeluc https://t.co/5vASaZo9YR,no,no,no,no,no,no
MattiasArvidss1,Haaland2021,,"Liverpool is my religion, Anfield is my church. Justice for the 96...rest in peace Anne Williams and Gerry Marsden. You'll Never Walk Alone. No politics please",our vice captain ladies and gentlemen. A veteran of 19 seasons at top level. #NoToEuropeanSuperLeague #LFC… https://t.co/yVjBLjC15q,no,no,no,no,no,no
WestTrackField,Lakota West Track & Field,,"Lakota West Track and Field 
Est. 1997
Head Coach Brenton Eisenhard",RT @LWjrTrack: Boys and Girls teams both took home 1st place in the Princeton Invitational! Great job ladies and gentlemen! @WestTrackField…,no,no,no,no,no,no
simrxnn_d,Simran,"London, England",,RT @KylieJenner: ladies and gentlemen.. her. https://t.co/aoTMar9vI5,no,no,no,no,no,no
flowerdaisylol,𝗗𝗮𝗶𝘀𝘆 :),They/She,𝐇𝐢! 𝐅𝐨𝐥𝐥𝐨𝐰 𝐦𝐞 𝐨𝐧 𝐭𝐢𝐤𝐭𝐨𝐤 @mels_cherub222,RT @bxbbly_mel: ladies and gentlemen...her. https://t.co/zi49dE8l6H,no,yes,yes,no,no,no
HafizaNarizan,NurHafiza Narizan,"Bukit mertajam, Pulau pinang",Don't wanna cry,"RT @farahkhairuddin: and this is why, ladies and gentlemen, ranting on social media works.",no,no,no,no,no,no
n_zxtyjty,✨🌙,Subang Jaya,I'll be the BEST in someone's eyes 🥰,"RT @farahkhairuddin: and this is why, ladies and gentlemen, ranting on social media works. https://t.co/GhtL5dToWL",no,no,no,no,no,no
AnimuDeath,DeathParadeAnimu,,"death parade best anime
all the character were so cool
nice","RT @AnimePlanet: Top Anime of Winter 2021 - Round 24

Cute Executive Officer vs Armor Shop for Ladies &amp; Gentlemen II

Voting ends in 24 hou…",no,no,no,no,no,no
Cp28Pau,PaolaCp28,Princess Park 👍🏻🙄💙💚 ,TPWK 🤺🤚🏻,"RT @bestofsos: michael clifford, ladies and gentlemen https://t.co/Zr25is35qb",no,no,no,no,no,no
No_Control_Lou,Tamara,Her/She•20,TPWK.,"RT @Louis_Tomlinson: Sooooooo this happened today ! Absolute dream , what a true gentlemen ! The best footballer of all time ! http://t.co/…",no,yes,no,no,no,no
xLunaYuki2,LunaYuki 2,doing/ur/mom,"Descontent made me do it. Persona non grata. I'm an agent of chaos and your worst shitposting nightmare, motherfuckers, fear me.
Me: https://t.co/5UWn6teVrp","Today I got scolded by a 6 digit for playing EZ 24/7 this week. ""Play something proper"", he said. 2021 players, ladies and gentlemen",no,no,no,yes,no,no
